,Song Name,Mean Streams,Total Streams,Stream Count,Mean Duration,Total Duration,First Quarter,Last Quarter
564,2step,464088.45493562234,108132610,233,153626.0,35794858,2021Q4,2021Q4
565,2x,51886.03076923077,3372592,65,202052.0,13133380,2019Q3,2020Q1
566,3,93240.0,372960,4,248093.0,992372,2016Q4,2016Q4
567,3 1 0 7,59379.84210526316,4512868,76,232258.0,17651608,2020Q4,2020Q3
568,3 1 0 7 (feat. Duongg & Nâu),111518.01515151515,7360189,66,232258.0,15329028,2021Q3,2021Q4
569,3 1 0 7 - 2 (feat. W/N & Nau),82657.71212121213,5455409,66,268524.0,17722584,2021Q3,2021Q4
570,"3 1 0 7 7 - W/N ft. ( titie, Duongg )",39362.333333333336,472348,12,211846.0,2542152,2021Q4,2021Q4
571,3 2 1,358091.06451612903,33302469,93,216100.0,20097300,2018Q4,2020Q1
572,3 A.M.,418073.37298541825,544749605,1303,183573.0,239195619,2018Q4,2017Q4
573,3 Am,14049.837837837838,519844,37,208236.0,7704732,2021Q4,2021Q4
574,3 Batidas - Ao Vivo,1549845.0826446281,187531255,121,157186.0,19019506,2019Q3,2020Q3
575,3 Daqat,5459.944444444444,393116,72,275228.0,19816416,2019Q3,2020Q1
576,3 Dias Virado,935610.4626865672,62685901,67,207157.0,13879519,2018Q4,2018Q4
577,3 Headed Goat (feat. Lil Baby & Polo G),1277338.1041666667,61312229,48,169531.0,8137488,2020Q4,2020Q3
578,3 Hulluu Sanaa,87390.66666666667,2097376,24,212920.0,5110080,2018Q4,2018Q4
579,3 Jahre weg (Intro),310938.0,932814,3,93903.0,281709,2017Q4,2017Q4
580,3 Kolesa,29559.847222222223,2128309,72,168205.0,12110760,2019Q3,2020Q4
581,3 Lucruri,16561.356435643564,1672697,101,205250.0,20730250,2019Q3,2020Q3
582,3 Musketeers,1126096.3333333333,20269734,18,166857.0,3003426,2020Q3,2020Q3
583,3 Nights,389640.0310030395,640957851,1645,177666.0,292260570,2018Q4,2020Q3
584,3 Soldaten,360867.0,4330404,12,191333.0,2295996,2021Q4,2021Q4
585,3 Strikes,64492.0,257968,4,175900.0,703600,2016Q4,2016Q4
586,3 Telefony,709315.4074074074,19151516,27,133199.0,3596373,2021Q4,2021Q4
587,3 de La Mañana - con Sebastián Yatra & Mora,124256.099009901,12549866,101,220773.0,22298073,2021Q3,2021Q4
588,3 en 1,442512.8,6637692,15,214280.0,3214200,2020Q3,2020Q3
589,3 messaggi in segreteria,58931.0,235724,4,206933.0,827732,2016Q4,2016Q4
590,3 сентября,75363.5,452181,6,376893.0,2261358,2021Q3,2021Q3
591,"3,14",50646.04761904762,3190701,63,324763.0,20460069,2021Q3,2021Q4
592,3. Stock,118946.33333333333,1427356,12,233558.0,2802696,2015Q4,2015Q4
593,3.1415…,7923.0,7923,1,211733.0,211733,2015Q1,2015Q1
594,3.3,110531.5,663189,6,179280.0,1075680,2018Q4,2018Q4
595,30 Horas - Remix,85242.3448275862,2472028,29,191724.0,5559996,2020Q4,2020Q3
596,30 Septembre,331708.0,4975620,15,120576.0,1808640,2021Q4,2021Q4
597,30 for 30 Freestyle,830548.0,39866304,48,253934.0,12188832,2015Q4,2015Q4
598,30 km/h,232318.07692307694,12080540,52,188436.15384615384,9798680,2018Q3,2018Q4
599,30/90,246119.0,1476714,6,262505.0,1575030,2021Q4,2021Q4
600,300,55618.11111111111,1501689,27,222603.0,6010281,2021Q4,2021Q4
601,30040,159092.0,795460,5,195798.0,978990,2017Q4,2017Q4
602,3005,403714.05263157893,53693969,133,234213.0,31150329,2015Q1,2016Q4
603,3065,449563.6666666667,4046073,9,186001.0,1674009,2021Q3,2021Q3
604,3095 pt2,506091.0,4048728,8,196893.0,1575144,2020Q4,2020Q4
605,3107 3,144327.45454545456,9525612,66,240000.0,15840000,2021Q3,2021Q4
606,321,92313.07142857143,6461915,70,194743.0,13632010,2021Q4,2021Q4
